"","Region","Country","Name","Style","Substyle","IBU","Rating","ABV","Price","Volume_Per_Container","Bottles_Per_Unit","Total_vol","Price_L","Value_metric"
"337","CANADA","CANADA","TIN WHISTLE - OSPREY PEAR WHITE IPA","","","",NA,6.5,5.75,0.65,1,0.65,8.85,NA
"338","CANADA","CANADA","VANCOUVER ISLAND - BEACHCOMBER SUMMER ALE","","","",NA,5.3,11.99,0.341,6,2.046,5.86,NA
"339","CANADA","CANADA","VANCOUVER ISLAND - POD PACK","","","",NA,5,22.5,0.341,12,4.092,5.5,NA
"340","CANADA","CANADA","VANCOUVER ISLAND - BLACK BETTY BLACKBERRY SAISON CAN","","","",NA,5.5,11.99,0.355,6,2.13,5.63,NA
"341","CANADA","CANADA","FERNIE - KICKSTAND HONEY KOLSCH","","","",NA,4.5,5.25,0.65,1,0.65,8.08,NA
"342","CANADA","CANADA","TREE - KELOWNA PILSNER TALL CAN","","","",NA,4.8,1.99,0.5,1,0.5,3.98,NA
"343","CANADA","CANADA","BC CRAFT BREWERS GUILD - BC CRAFT PACK","","","",NA,5,24.5,0.341,12,4.092,5.99,NA
"344","CANADA","CANADA","DEAD FROG - WINTER SEASONAL AMBER ALE","","","",NA,5,12.25,0.341,6,2.046,5.99,NA
"345","CANADA","CANADA","TREE - GROOVE SESSION ALE CAN","","","",NA,5,9.95,0.355,6,2.13,4.67,NA
"346","CANADA","CANADA","DEAD FROG - THE SUMMER MIXER","","","",NA,5,22.95,0.341,12,4.092,5.61,NA
"347","CANADA","CANADA","FERNIE - SUMMER SAMPLER CAN","","","",NA,5,22.95,0.355,12,4.26,5.39,NA
"348","EUROPE","UNITED KINGDOM","INNIS & GUNN CANADIAN CHERRYWOOD FINISH","SPECIALTY","SCOTCH ALE",NA,3.8,8.3,3.25,0.33,1,0.33,9.85,0.385846153846154
"349","CANADA","CANADA","MT BEGBIE - ATTILA THE HONEY","","","",NA,5,5.1,0.65,1,0.65,7.85,NA
"350","EUROPE","UNITED KINGDOM","INNIS & GUNN - SMOKIN GUNN","PORTER","SMOKED",NA,3.81,7.4,4.99,0.33,1,0.33,15.12,0.251963927855711
"351","CANADA","CANADA","PARALLEL 49 - TOUQUES OF HAZZARD IMPERIAL WHITE IPA","","","",NA,9,6,0.65,1,0.65,9.23,NA
"352","CANADA","CANADA","TIN WHISTLE - PENTICTON HARVEST HONEY PALE ALE","","","",NA,6,5.5,0.65,1,0.65,8.46,NA
"353","CANADA","CANADA","STANLEY PARK - LORD STANLEY'S SUMMER PICK","","","",NA,5.1,22.25,0.33,12,3.96,5.62,NA
"354","EUROPE","UNITED KINGDOM","HISTORIC ALES FROM SCOTLAND GIFT PACK","","","",NA,5,13.99,0.33,4,1.32,10.6,NA
"355","CANADA","CANADA","PARALLEL 49 - SCHADENFREUDE PUMPKIN OKTOBERFEST","","","",NA,5,12.5,0.341,6,2.046,6.11,NA
"356","CANADA","CANADA","BC CRAFT BREWERS GUILD MAIDEN VOYAGE EXTRA PALE ALE","","","",NA,6,5.95,0.65,1,0.65,9.15,NA
"357","CANADA","CANADA","PROHIBITION - HARVEST PUMPKIN SPICED ALE","","","",NA,5.5,4.95,0.65,1,0.65,7.62,NA
"358","CANADA","CANADA","STEAMWORKS - MASH UP MIX PACK","","","",NA,5.5,23.5,0.355,12,4.26,5.52,NA
"359","USA","UNITED STATES OF AMERICA","BROOKLYN POST ROAD PUMPKIN ALE","","","",NA,5,15.45,0.355,6,2.13,7.25,NA
"360","CANADA","CANADA","DEAD FROG - NUTTY UNCLE PEANUT BUTTER STOUT","","","",NA,6.1,5.5,0.65,1,0.65,8.46,NA
"361","CANADA","CANADA","RUSSELL - WHITE RABBIT HOPPED HEFEWEIZEN","","","",NA,6,5.95,0.65,1,0.65,9.15,NA
"362","CANADA","CANADA","CENTRAL CITY - RED RACER JEFF O'NEIL GINGERBREAD STOUT","","","",NA,6,5.99,0.65,1,0.65,9.22,NA
"363","CANADA","CANADA","RUSSELL - NAUGHTY & SPICED PORTER","","","",NA,6.5,5.55,0.65,1,0.65,8.54,NA
"364","CANADA","CANADA","VANCOUVER ISLAND - HERMANNATOR ICE BOCK","","","",NA,9.5,13.75,0.341,6,2.046,6.72,NA
"365","CANADA","CANADA","FERNIE - HOT SAW INDIA BROWN ALE","","","",NA,7,5.5,0.65,1,0.65,8.46,NA
"366","USA","UNITED STATES OF AMERICA","SIERRA NEVADA  PALE ALE","","","",NA,5.6,14.99,0.355,6,2.13,7.04,NA
"367","EUROPE","BELGIUM","MORT SUBITE FRAMBOISE","","","",NA,4.5,4.98,0.375,1,0.375,13.28,NA
"368","CANADA","CANADA","WOLF - RED BRICK INDIA PALE ALE","","","",NA,6,5.75,0.65,1,0.65,8.85,NA
"369","EUROPE","FRANCE","KRONENBOURG 1664 BLANC","","","",NA,5,14.49,0.33,6,1.98,7.32,NA
"370","CANADA","CANADA","LIGHTHOUSE - SHIPWRECK IPA","","","",NA,6.5,12.75,0.355,6,2.13,5.99,NA
"371","OCEANIA","NEW ZEALAND","STEINLAGER PURE","","","",NA,5,13.99,0.33,6,1.98,7.07,NA
"372","CANADA","CANADA","MILLER CHILL CAN","","","",NA,4,25.69,0.355,12,4.26,6.03,NA
"373","CANADA","CANADA","PHILLIPS - HOP CIRCLE IPA","","","",NA,6.5,12.25,0.341,6,2.046,5.99,NA
"374","CANADA","CANADA","R & B - SUN GOD WHEAT ALE","","","",NA,4.2,5.25,0.65,1,0.65,8.08,NA
"375","CANADA","CANADA","SLEEMAN - ORIGINAL DRAUGHT CAN","","","",NA,5,22.25,0.355,15,5.325,4.18,NA
"376","CANADA","CANADA","PARALLEL 49 - GYPSY TEARS RUBY ALE","","","",NA,6,12.5,0.341,6,2.046,6.11,NA
"377","CANADA","CANADA","HOP CITY - BARKING SQUIRREL LAGER","","","",NA,5,11.99,0.341,6,2.046,5.86,NA
"378","CANADA","CANADA","LABATT - BUDWEISER CAN PROMO 6 PK","","","",NA,5,9.69,0.355,6,2.13,4.55,NA
"379","EUROPE","UNITED KINGDOM","WYCHWOOD - FOREST FRUITS MIXED BERRY","","","",NA,4.2,3.5,0.5,1,0.5,7,NA
"380","CANADA","CANADA","OLD YALE - SASQUATCH STOUT","","","",NA,5,5.99,0.65,1,0.65,9.22,NA
"381","CANADA","CANADA","BARKERVILLE - 18 KARAT ALE","","","",NA,4.9,5.25,0.65,1,0.65,8.08,NA
"382","EUROPE","GERMANY","KONIG PILSNER TALL CAN","","","",NA,4.9,2.25,0.5,1,0.5,4.5,NA
"383","CANADA","CANADA","PACIFIC WESTERN - CARIBOO GENUINE DRAFT CAN","","","",NA,5.5,15.89,0.355,12,4.26,3.73,NA
"384","CANADA","CANADA","MUSKOKA - DOUBLE CHOCOLATE CRANBERRY STOUT WHITE BEARD","","","",NA,8,10.94,0.75,1,0.75,14.59,NA
"385","EUROPE","GERMANY","BITBURGER PREMIUM TALL CAN","","","",NA,4.8,2.25,0.5,1,0.5,4.5,NA
"386","EUROPE","GERMANY","ERDINGER - WEISSBIER","","","",NA,5.3,3.19,0.5,1,0.5,6.38,NA
"387","CANADA","CANADA","LABATT - BUD LIGHT CAN CANUCKS 15 PK","","","",NA,4,22.99,0.355,15,5.325,4.32,NA
"388","CANADA","CANADA","SLEEMAN - INDIA PALE ALE","","","",NA,5,12.25,0.341,6,2.046,5.99,NA
"389","EUROPE","CZECH REPUBLIC","KRUSOVICE IMPERIAL","","","",NA,5,2.69,0.5,1,0.5,5.38,NA
"390","EUROPE","UNITED KINGDOM","WYCHWOOD - HOBGOBLIN RUBY BEER","","","",NA,5.5,3.55,0.5,1,0.5,7.1,NA
"391","CANADA","CANADA","RICKARDS WHITE","","","",NA,5.4,12.99,0.341,6,2.046,6.35,NA
"392","USA","UNITED STATES OF AMERICA","COORS BANQUET","","","",NA,5,12.99,0.355,6,2.13,6.1,NA
"393","USA","UNITED STATES OF AMERICA","NINKASI - SEASONAL PACK","","","",NA,6,19.95,0.65,4,2.6,7.67,NA
"394","EUROPE","AUSTRIA","STIEGL - TALL CAN","","","",NA,4.9,2.59,0.5,1,0.5,5.18,NA
"395","CANADA","CANADA","LABATT - BUDWEISER CROWN SLIM CAN","","","",NA,6,23.49,0.355,12,4.26,5.51,NA
"396","CANADA","CANADA","ALEXANDER KEITH'S - RED AMBER ALE","","","",NA,5,23.49,0.341,12,4.092,5.74,NA
"397","CANADA","CANADA","HELL'S GATE - LAGER CAN","","","",NA,5,19.99,0.355,15,5.325,3.75,NA
"398","EUROPE","UNITED KINGDOM","BODDINGTON'S PUB ALE DRAUGHT CAN","","","",NA,5,14.29,0.44,4,1.76,8.12,NA
"399","USA","UNITED STATES OF AMERICA","MILLER GENUINE DRAFT","","","",NA,4.7,23.69,0.355,12,4.26,5.56,NA
"400","CANADA","CANADA","PACIFIC WESTERN - CARIBOO GENUINE DRAFT CAN","","","",NA,5.5,7.99,0.355,6,2.13,3.75,NA
"401","CANADA","CANADA","KEYSTONE - LAGER CAN","","","",NA,4.9,19.49,0.355,15,5.325,3.66,NA
"402","CANADA","CANADA","DRIFTWOOD BREWING - BLACKSTONE PORTER","","","",NA,5.1,5.5,0.65,1,0.65,8.46,NA
"403","CANADA","CANADA","DEAD FROG - THE CLASSIC NUT BROWN ALE","","","",NA,5,12.25,0.341,6,2.046,5.99,NA
"404","ASIA","THAILAND","SINGHA LAGER","","","",NA,5,12.99,0.33,6,1.98,6.56,NA
"405","CANADA","CANADA","NELSON - NELSON AFTER DARK ALE ORGANIC","","","",NA,5,11.95,0.341,6,2.046,5.84,NA
"406","CANADA","CANADA","MOLSON - OLD STYLE PILSNER CAN","","","",NA,5,35.55,0.355,24,8.52,4.17,NA
"407","CANADA","CANADA","SLEEMAN - HONEY BROWN LAGER","","","",NA,5,22.99,0.341,12,4.092,5.62,NA
"408","CANADA","CANADA","UNIBROUE - TROIS PISTOLES","","","",NA,9,6.75,0.75,1,0.75,9,NA
"409","CANADA","CANADA","MT BEGBIE - TALL TIMBER ALE","","","",NA,5.3,4.75,0.65,1,0.65,7.31,NA
"410","CANADA","CANADA","MOLSON - COORS LIGHT","","","",NA,4,22.99,0.341,15,5.115,4.49,NA
"411","EUROPE","NETHERLANDS","HEINEKEN LAGER CAN","","","",NA,5,24.99,0.33,12,3.96,6.31,NA
"412","CANADA","CANADA","MUSKOKA - DETOUR SESSION IPA","","","",NA,4.3,13.99,0.355,6,2.13,6.57,NA
"413","CANADA","CANADA","GRANVILLE ISLAND - CYPRESS HONEY LAGER CAN","","","",NA,4.7,22.25,0.355,15,5.325,4.18,NA
"414","USA","UNITED STATES OF AMERICA","BUD LIGHT LIME","","","",NA,4,13.29,0.33,6,1.98,6.71,NA
"415","CANADA","CANADA","GULF ISLAND - SALTSPRING PORTER","","","",NA,5.5,5.65,0.65,1,0.65,8.69,NA
"416","EUROPE","CZECH REPUBLIC","CZECHVAR","","","",NA,5,24.95,5,1,5,4.99,NA
"417","CANADA","CANADA","COLUMBIA - KOKANEE CAN","","","",NA,5,14.29,0.355,8,2.84,5.03,NA
"418","USA","UNITED STATES OF AMERICA","MENDOCINO BREWING - OATMEAL STOUT","STOUT","OATMEAL STOUT","30",3.47,6,13.99,0.355,6,2.13,6.57,0.52831308077198
"419","CANADA","CANADA","DRIFTWOOD - CROOKED COAST ALTBIER","","","",NA,5,5.25,0.65,1,0.65,8.08,NA
"420","CANADA","CANADA","NELSON - PADDYWHACK IPA CAN ORGANIC","","","",NA,6.5,12.45,0.355,6,2.13,5.85,NA
"421","CANADA","CANADA","PARALLEL 49 - BLACK HOPS CASCADIAN DARK LAGER","","","",NA,6.5,5.5,0.65,1,0.65,8.46,NA
"422","EUROPE","DENMARK","TUBORG TALL CAN","","","",NA,5.5,1.99,0.5,1,0.5,3.98,NA
"423","CANADA","CANADA","BRIDGE - NORTH SHORE PALE","","","",NA,5.5,5.5,0.65,1,0.65,8.46,NA
"424","CANADA","CANADA","ALEXANDER KEITH'S - INDIA PALE ALE","","","",NA,5,23.49,0.341,12,4.092,5.74,NA
"425","CANADA","CANADA","VANCOUVER ISLAND - HERMANN'S DARK LAGER","","","",NA,5.5,12.15,0.341,6,2.046,5.94,NA
"426","CANADA","CANADA","MOLSON - OLD STYLE PILSNER CAN","","","",NA,5,9.39,0.355,6,2.13,4.41,NA
"427","CANADA","CANADA","COLUMBIA - KOKANEE CAN","","","",NA,5,9.69,0.355,6,2.13,4.55,NA
"428","CANADA","CANADA","MOLSON - CANADIAN CAN","","","",NA,5,35.55,0.355,24,8.52,4.17,NA
"429","CANADA","CANADA","LABATT - BUDWEISER CAN","","","",NA,5,22.99,0.355,15,5.325,4.32,NA
"430","CANADA","CANADA","MOLSON - OLD STYLE PILSNER CAN","","","",NA,5,29.49,0.355,18,6.39,4.62,NA
"431","CANADA","CANADA","OKANAGAN SPRING - PALE ALE","","","",NA,5,22.95,0.341,12,4.092,5.61,NA
"432","CANADA","CANADA","SHOCK TOP BELGIAN WHITE ALE CAN","","","",NA,5.2,23.49,0.355,12,4.26,5.51,NA
"433","USA","UNITED STATES OF AMERICA","MENDOCINO - EYE OF THE HAWK SELECT ALE","","","",NA,8,4.99,0.65,1,0.65,7.68,NA
"434","CANADA","CANADA","DEAD FROG - SUPER FEARLESS IMPERIAL IPA","","","",NA,9,6.98,0.65,1,0.65,10.74,NA
"435","CANADA","CANADA","RICKARDS DERTASTERPACKEN","","","",NA,5.5,22.95,0.341,12,4.092,5.61,NA
"436","CANADA","CANADA","STEAMWORKS - JASMINE IPA","","","",NA,6.5,5.5,0.65,1,0.65,8.46,NA
"437","CANADA","CANADA","DEAD FROG - BIG STUMP SPRUCE GOLDEN ALE","","","",NA,6.5,5.5,0.65,1,0.65,8.46,NA
"438","CANADA","CANADA","LIGHTHOUSE - VARIETY PACK","","","",NA,5.2,22.95,0.355,12,4.26,5.39,NA
"439","CANADA","CANADA","TREE - THIRSTY BEAVER AMBER ALE TALL CAN","","","",NA,5,2.25,0.5,1,0.5,4.5,NA
"440","CANADA","CANADA","TREE - GROOVE SESSION ALE TALL CAN","","","",NA,5,2.25,0.5,1,0.5,4.5,NA
"441","EUROPE","UNITED KINGDOM","FULLERS EXTRA SPECIAL BITTER","","","",NA,5.9,3.99,0.5,1,0.5,7.98,NA
"442","CANADA","CANADA","FERNIE - CRAFT COLLECTION CAN","","","",NA,5,22.95,0.355,12,4.26,5.39,NA
"443","CANADA","CANADA","LIGHTHOUSE - SUMMER VARIETY PACK","","","",NA,5.2,22.95,0.355,12,4.26,5.39,NA
"444","CANADA","CANADA","PHILLIPS - CROOKED TOOTH PUMPKIN ALE","","","",NA,5,5.5,0.65,1,0.65,8.46,NA
"445","EUROPE","UNITED KINGDOM","INNIS & GUNN MALT WHISKY TRAIL","DARK ALE","SCOTCH ALE","10",3.73,7.4,4.99,0.33,1,0.33,15.12,0.246673346693387
"446","CANADA","CANADA","VANCOUVER ISLAND - SABOTAGE INDIA SESSION ALE","","","",NA,5,5.5,0.65,1,0.65,8.46,NA
"447","USA","UNITED STATES OF AMERICA","STONE BREWING ARROGANT BASTARD ALE","","","",NA,7.2,6.75,0.65,1,0.65,10.38,NA
"448","USA","UNITED STATES OF AMERICA","STONE BREWING - INDIA PALE ALE","","","",NA,6.9,16.95,0.355,6,2.13,7.96,NA
"449","EUROPE","BELGIUM","VEDETT EXTRA WIT","","","",NA,4.7,10.95,0.33,4,1.32,8.3,NA
"450","EUROPE","UNITED KINGDOM","BELHAVEN BLACK SCOTTISH STOUT TALL CAN","STOUT","IRISH STOUT","10",3.59,4.2,10.95,0.44,4,1.76,6.22,0.577022831050228
"451","USA","UNITED STATES OF AMERICA","GOOSE ISLAND SOFIE BELGIAN STYLE FARMHOUSE ALE","","","",NA,6.5,8.15,0.765,1,0.765,10.65,NA
"452","USA","UNITED STATES OF AMERICA","NEW BELGIUM - RANGER IPA","","","",NA,6.5,14.99,0.355,6,2.13,7.04,NA
"453","USA","UNITED STATES OF AMERICA","NEW BELGIUM - SEASONAL TOUR DE FALL PALE ALE","","","",NA,6.2,14.99,0.355,6,2.13,7.04,NA
"454","USA","UNITED STATES OF AMERICA","SIERRA NEVADA TORPEDO EXTRA IPA","","","",NA,7.2,5.99,0.71,1,0.71,8.44,NA
"455","CANADA","CANADA","MOLSON - CANADIAN 67","","","",NA,3,23.99,0.341,12,4.092,5.86,NA
"456","CANADA","CANADA","LIGHTHOUSE - BEACON IPA CAN","","","",NA,5.3,12.15,0.355,6,2.13,5.7,NA
"457","EUROPE","GERMANY","WARSTEINER PREMIUM VERUM","","","",NA,4.8,13.49,0.33,6,1.98,6.81,NA
"458","CANADA","CANADA","MUSKOKA - MAD TOM IPA","","","",NA,6.4,13.99,0.355,6,2.13,6.57,NA
"459","ASIA","RUSSIA (USSR)","BALTIKA 7","","","",NA,5.4,2.6,0.5,1,0.5,5.2,NA
"460","CANADA","CANADA","MOOSEHEAD LAGER CAN","","","",NA,5,15.99,0.355,8,2.84,5.63,NA
"461","CANADA","CANADA","SLEEMAN - ORIGINAL DRAUGHT","","","",NA,5,20.99,0.341,15,5.115,4.1,NA
"462","USA","UNITED STATES OF AMERICA","MILLER GENUINE DRAFT CAN","","","",NA,4.7,29.99,0.355,15,5.325,5.63,NA
"463","EUROPE","BELGIUM","LIEFMANS FRUITESSE","","","",NA,4.2,9.95,0.25,4,1,9.95,NA
"464","CANADA","CANADA","RICKARDS TASTERS PACK","","","",NA,5.3,23.95,0.341,12,4.092,5.85,NA
"465","EUROPE","GERMANY","DAB ORIGINAL TALL CAN","","","",NA,5,2.25,0.5,1,0.5,4.5,NA
"466","USA","UNITED STATES OF AMERICA","PYRAMID - APRICOT ALE","","","",NA,5.1,14.79,0.355,6,2.13,6.94,NA
"467","EUROPE","IRELAND","GUINNESS PUB DRAUGHT CAN","","","",NA,4.1,11.99,0.44,4,1.76,6.81,NA
"468","USA","UNITED STATES OF AMERICA","DESCHUTES - CHAINBREAKER WHITE IPA","","","",NA,5.6,15.29,0.355,6,2.13,7.18,NA
"469","CANADA","CANADA","CANNERY - ANARCHIST AMBER ALE CAN","","","",NA,5.5,11.65,0.355,6,2.13,5.47,NA
"470","EUROPE","NETHERLANDS","HEINEKEN LAGER TALL CAN","","","",NA,5,2.49,0.5,1,0.5,4.98,NA
"471","CANADA","CANADA","PACIFIC WESTERN - CARIBOO BLONDE CAN","","","",NA,5.5,7.54,0.355,6,2.13,3.54,NA
"472","USA","UNITED STATES OF AMERICA","ELYSIAN - MANIC SERIES SPACE DUST IPA","","","",NA,6.3,7.25,0.65,1,0.65,11.15,NA
"473","CANADA","CANADA","PHILLIPS - BLUE BUCK ALE CAN","","","",NA,5,11.75,0.355,6,2.13,5.52,NA
"474","CANADA","CANADA","CANNERY - CANNERY COLLECTION CAN","","","",NA,6,12.35,0.355,6,2.13,5.8,NA
"475","EUROPE","DENMARK","FAXE PREMIUM LAGER TALL CAN","","","",NA,5,1.99,0.5,1,0.5,3.98,NA
"476","EUROPE","GERMANY","HOLSTEN MAIBOCK TALL CAN","","","",NA,7.5,2.25,0.5,1,0.5,4.5,NA
"477","CANADA","CANADA","GRANVILLE ISLAND - SWING SPAN AMBER ALE","","","",NA,5.6,11.99,0.341,6,2.046,5.86,NA
"478","CANADA","CANADA","GRANVILLE ISLAND - CHOCOLATE STOUT","","","",NA,8.4,5.9,0.65,1,0.65,9.08,NA
"479","USA","UNITED STATES OF AMERICA","MICKEY'S","","","",NA,5.5,21.99,0.355,12,4.26,5.16,NA
"480","ASIA","PHILIPPINES","SAN MIGUEL","","","",NA,5,11.99,0.33,6,1.98,6.06,NA
"481","CANADA","CANADA","STEAMWORKS - PILSNER TALL CAN","","","",NA,5,2.25,0.5,1,0.5,4.5,NA
"482","EUROPE","NETHERLANDS","HEINEKEN LAGER","","","",NA,5,34.99,5,1,5,7,NA
"483","CANADA","CANADA","LABATT - BUDWEISER SLEEK CAN","","","",NA,5,16.25,0.296,12,3.552,4.57,NA
"484","EUROPE","NETHERLANDS","HEINEKEN LAGER","","","",NA,5,24.99,0.33,12,3.96,6.31,NA
"485","CANADA","CANADA","UNIBROUE - BLANCHE DE CHAMBLY","","","",NA,5,6.5,0.75,1,0.75,8.67,NA
"486","USA","UNITED STATES OF AMERICA","ANCHOR STEAM BEER","HYBRID","CALIFORNIA COMMON","35",3.5,4.88,13.99,0.355,6,2.13,6.57,0.532880629020729
"487","CANADA","CANADA","HOWE SOUND - DEVIL'S ELBOW INDIA PALE ALE","","","",NA,6,7.75,1,1,1,7.75,NA
"488","EUROPE","BELGIUM","STELLA ARTOIS CAN","","","",NA,5.2,25.49,0.33,12,3.96,6.44,NA
"489","EUROPE","FRANCE","KRONENBOURG 1664","","","",NA,5,13.99,0.33,6,1.98,7.07,NA
"490","CANADA","CANADA","UNIBROUE - COLLECTION PACK","","","",NA,8,22.95,0.341,12,4.092,5.61,NA
"491","CANADA","CANADA","OKANAGAN SPRING - 1516 BAVARIAN LAGER","","","",NA,5,22.95,0.341,12,4.092,5.61,NA
"492","CANADA","CANADA","BLACK LOON - BUSHMAN LAGER CAN","","","",NA,5.6,7.99,0.355,6,2.13,3.75,NA
"493","CANADA","CANADA","COLUMBIA - KOKANEE","","","",NA,5,25.49,0.341,15,5.115,4.98,NA
"494","CANADA","CANADA","LABATT - LUCKY LAGER CAN","","","",NA,5,12.39,0.355,8,2.84,4.36,NA
"495","CANADA","CANADA","UNIBROUE - MAUDITE","","","",NA,8,6.75,0.75,1,0.75,9,NA
"496","EUROPE","NETHERLANDS","HEINEKEN LAGER CAN","","","",NA,5,12.99,0.33,6,1.98,6.56,NA
"497","EUROPE","BELGIUM","STELLA ARTOIS LEGERE","","","",NA,4,13.29,0.33,6,1.98,6.71,NA
"498","CANADA","CANADA","PARALLEL 49 - VOW OF SILENCE BELGIAN STRONG","","","",NA,9.2,6.5,0.65,1,0.65,10,NA
"499","CANADA","CANADA","TOWNSITE - SAID THE ALE","","","",NA,5.8,5.95,0.65,1,0.65,9.15,NA
"500","EUROPE","UNITED KINGDOM","TIMOTHY TAYLOR'S LANDLORD PALE ALE","","","",NA,4.1,3.99,0.5,1,0.5,7.98,NA
"501","CANADA","CANADA","CANNERY - NARAMATA NUT BROWN ALE CAN","","","",NA,5.5,11.9,0.355,6,2.13,5.59,NA
"502","EUROPE","IRELAND","HARP LAGER TALL CAN","","","",NA,5,2.35,0.5,1,0.5,4.7,NA
"503","CANADA","CANADA","DRIFTWOOD - FAT TUG IPA","","","",NA,7,5.75,0.65,1,0.65,8.85,NA
"504","CANADA","CANADA","BIG ROCK - TRADITIONAL ALE","","","",NA,5,12.25,0.33,6,1.98,6.19,NA
"505","CANADA","CANADA","LABATT - BUDWEISER","","","",NA,5,25.49,0.341,15,5.115,4.98,NA
"506","CANADA","CANADA","PROHIBITION - BOOTLEGGER ALE","","","",NA,5.5,5.5,0.65,1,0.65,8.46,NA
"507","CANADA","CANADA","PHILLIPS - GINGER BEER","","","",NA,5,4.99,0.65,1,0.65,7.68,NA
"508","CANADA","CANADA","GRANVILLE ISLAND - LIONS WINTER ALE CAN","","","",NA,5.5,12.99,0.355,6,2.13,6.1,NA
"509","CANADA","CANADA","MT BEGBIE - NASTY HABIT IPA","","","",NA,6,5.1,0.65,1,0.65,7.85,NA
"510","CANADA","CANADA","ALEXANDER KEITH'S - INDIA PALE ALE CAN","","","",NA,5,24.99,0.355,15,5.325,4.69,NA
"511","CANADA","CANADA","MOLSON - COORS LIGHT CAN","","","",NA,4,9.39,0.355,6,2.13,4.41,NA
"512","CANADA","CANADA","LABATT - BUD LIGHT","","","",NA,4,23.49,0.341,12,4.092,5.74,NA
"513","CANADA","CANADA","SLEEMAN - CLEAR","","","",NA,4,19.99,0.341,12,4.092,4.89,NA
"514","CANADA","CANADA","LABATT - GENUINE LAGER CAN","","","",NA,5,22.29,0.355,15,5.325,4.19,NA
"515","CANADA","CANADA","R & B - RAVEN CREAM ALE","","","",NA,4.8,12.25,0.341,6,2.046,5.99,NA
"516","CANADA","CANADA","GRANVILLE ISLAND - ISLAND LAGER CAN","","","",NA,5,12.99,0.355,6,2.13,6.1,NA
"517","CANADA","CANADA","MOLSON - OLD STYLE PILSNER CAN","","","",NA,5,22.49,0.355,15,5.325,4.22,NA
"518","CANADA","CANADA","STEAMWORKS - ROLLIN' GOLDEN BELGIUM ALE","","","",NA,7,6.25,0.65,1,0.65,9.62,NA
"519","CANADA","CANADA","STEAMWORKS - FRAMBOZEN","","","",NA,7,5.49,0.65,1,0.65,8.45,NA
"520","CANADA","CANADA","OKANAGAN SPRING - SUMMER WEIZEN","","","",NA,5,12.99,0.341,6,2.046,6.35,NA
"521","CANADA","CANADA","ALEXANDER KEITH'S - HOP SERIES GALAXY HOP ALE","","","",NA,5.5,12.99,0.341,6,2.046,6.35,NA
"522","CANADA","CANADA","WHISTLER - FORAGER GLUTEN FREE","","","",NA,5,14.95,0.33,6,1.98,7.55,NA
"523","CANADA","CANADA","LIGHTHOUSE - RHUBIE RHUBARB ALE","","","",NA,6.2,5.95,0.65,1,0.65,9.15,NA
"524","EUROPE","BELGIUM","DELIRIUM NOEL PACK","","","",NA,8.7,19.99,0.33,4,1.32,15.14,NA
"525","CANADA","CANADA","ALEXANDER KEITH'S - HOP SERIES MIXER (SAPHIR)","","","",NA,5.5,23.49,0.341,12,4.092,5.74,NA
"526","CANADA","CANADA","TREE - VERTICAL WINTER ALE CAN","","","",NA,5,11.95,0.355,6,2.13,5.61,NA
"527","CANADA","CANADA","TREE - CUTTHROAT PALE ALE","","","",NA,5,12.15,0.33,6,1.98,6.14,NA
"528","CANADA","CANADA","SHAFTEBURY - FOUR TWENTY BRILLIANT LAGER TALL CAN","","","",NA,5,1.99,0.5,1,0.5,3.98,NA
"529","CANADA","CANADA","TREE - THIRSTY BEAVER AMBER ALE","","","",NA,5,12.15,0.33,6,1.98,6.14,NA
"530","CANADA","CANADA","LIGHTHOUSE - SIREN RED ALE CAN","","","",NA,8,7.99,0.355,4,1.42,5.63,NA
"531","CANADA","CANADA","VANCOUVER ISLAND - STORM WATCHER WINTER LAGER","","","",NA,5.5,11.99,0.341,6,2.046,5.86,NA
"532","CANADA","CANADA","VANCOUVER ISLAND - WINTER POD PACK","","","",NA,5,22.95,0.341,12,4.092,5.61,NA
"533","CANADA","CANADA","TIN WHISTLE - STRAWBERRY BLONDE","","","",NA,5,5.5,0.65,1,0.65,8.46,NA
"534","CANADA","CANADA","PARALLEL 49 - N2 SERIES MILK STOUT","","","",NA,5,12.95,0.341,6,2.046,6.33,NA
"535","CANADA","CANADA","STEAMWORKS - RED ALE","","","",NA,5.9,5.5,0.65,1,0.65,8.46,NA
"536","CANADA","CANADA","VANCOUVER ISLAND - MILE HIGH MOUNTAIN ALE","","","",NA,5.9,5.25,0.65,1,0.65,8.08,NA
"537","CANADA","CANADA","STANLEY PARK - ICE BREAKER WINTER ALE","","","",NA,5.5,12.5,0.33,6,1.98,6.31,NA
"538","CANADA","CANADA","VANCOUVER ISLAND - THIRTY YEARS IMPERIAL RED ALE","","","",NA,8,5.99,0.65,1,0.65,9.22,NA
"539","CANADA","CANADA","TREE - JUMPIN JACK PUMPKIN ALE","","","",NA,5,5.45,0.65,1,0.65,8.38,NA
"540","CANADA","CANADA","NELSON - PUMPKIN ALE ORGANIC","","","",NA,5,5.5,0.65,1,0.65,8.46,NA
"541","CANADA","CANADA","MCAUSLAN - ST AMBROISE VARIETY PACK","","","",NA,5,21.99,0.341,12,4.092,5.37,NA
"542","CANADA","CANADA","BIG ROCK - ABANDONED ABBEY","","","",NA,9.2,6.5,0.65,1,0.65,10,NA
"543","CANADA","CANADA","OLD YALE - KNOTTY BLONDE ALE CAN","","","",NA,5,12.49,0.355,6,2.13,5.86,NA
